# per-record wraparound-mask validation, bin/mask_wrap.py
# integral_* are sum(f)*dx*dy; asym = 1 - z_m/z_i with z_m = 30.0 m
# removed_* are fractions of sum|f| over the UNMASKED raster
run_id	split	wdir_deg	zi_m	asym	integral_raw	integral_masked	err_raw	err_masked	removed_abs	removed_near	removed_far	negfrac_raw	negfrac_masked	array_share
case_2025041116	test	343.9	1259	0.9762	1.1266	1.0200	+0.1504	+0.0439	0.14535	0.00028	0.14507	0.04220	0.01500	0.27322
case_2025041217	test	229.5	1259	0.9762	1.0765	1.0139	+0.1003	+0.0377	0.08022	0.00000	0.08022	0.02872	0.01739	0.00463
case_2025041318	test	142.9	681	0.9559	1.0975	1.0412	+0.1416	+0.0853	0.10728	0.00000	0.10728	0.05912	0.03147	0.03020
case_2025041416	test	252.3	1172	0.9744	1.1244	1.0186	+0.1500	+0.0442	0.15191	0.00000	0.15191	0.05767	0.02752	0.00436
case_2025041513	test	277.3	419	0.9284	0.9545	0.8507	+0.0261	-0.0777	0.15117	0.00126	0.14992	0.02869	0.00514	0.00129
case_2025041620	test	284.4	1063	0.9718	1.0641	1.0079	+0.0924	+0.0361	0.11647	0.00007	0.11639	0.05721	0.02534	0.01523
case_2025041716	test	150.9	739	0.9594	0.7263	0.6750	-0.2331	-0.2844	0.17475	0.00000	0.17475	0.13370	0.08748	0.00896
case_2025041815	test	116.4	760	0.9605	0.8384	0.8219	-0.1221	-0.1386	0.07096	0.00000	0.07096	0.06828	0.04446	0.00005
case_2025041904	test	275.1	868	0.9654	0.8173	0.7455	-0.1481	-0.2199	0.15446	0.00248	0.15197	0.04205	0.00598	-0.00023
case_2025042016	test	84.8	802	0.9626	0.9772	0.9303	+0.0146	-0.0323	0.10236	0.00171	0.10065	0.07236	0.04646	0.00083
case_2025042119	test	257.1	1116	0.9731	0.9486	0.8552	-0.0246	-0.1180	0.15557	0.00142	0.15416	0.04986	0.01942	0.00161
case_2025042216	test	177.3	643	0.9534	1.3170	1.1790	+0.3637	+0.2256	0.15535	0.00213	0.15322	0.05027	0.02338	0.04417
case_2025042322	test	208.5	1116	0.9731	0.9173	0.8536	-0.0558	-0.1195	0.11048	0.00000	0.11048	0.04038	0.01919	0.00284
case_2025042522	test	335.1	823	0.9636	1.4539	1.3540	+0.4904	+0.3904	0.09843	0.00000	0.09843	0.03978	0.02463	0.26826
case_2025042622	test	30.5	1144	0.9738	1.1475	1.0914	+0.1737	+0.1177	0.09090	0.00000	0.09090	0.06078	0.04048	0.03841
case_2025042719	test	167.9	1116	0.9731	0.8572	0.7538	-0.1159	-0.2193	0.17643	0.00100	0.17543	0.06232	0.03264	0.00996
case_2025042816	test	173.5	891	0.9663	1.1222	0.9957	+0.1559	+0.0294	0.17221	0.00047	0.17174	0.04847	0.01604	0.00871
case_2025042917	test	270.2	1089	0.9725	1.0335	0.9590	+0.0610	-0.0134	0.13692	0.00325	0.13367	0.05675	0.02342	0.00431
case_2025043018	test	181.9	1116	0.9731	0.9705	0.8861	-0.0026	-0.0871	0.17371	0.00211	0.17160	0.06586	0.02030	0.01225
case_2025050118	test	290.2	962	0.9688	1.0852	1.0222	+0.1164	+0.0534	0.10845	0.00000	0.10845	0.04685	0.02127	0.00880
case_2025050220	test	227.6	1011	0.9703	0.8816	0.8597	-0.0888	-0.1107	0.06574	0.00000	0.06574	0.06461	0.04554	0.00491
case_2025050303	test	5.3	802	0.9626	0.8008	0.7779	-0.1618	-0.1847	0.09390	0.00028	0.09362	0.05866	0.02683	0.34835
case_2025050418	test	17.9	1144	0.9738	1.0806	1.0197	+0.1068	+0.0459	0.11354	0.00006	0.11348	0.04867	0.01956	0.24116
case_2025050517	test	53.7	1229	0.9756	1.4141	1.3712	+0.4385	+0.3956	0.06991	0.00000	0.06991	0.08002	0.06215	0.00698
case_2025050723	test	41.0	1037	0.9711	0.8612	0.8488	-0.1098	-0.1223	0.07982	0.00000	0.07982	0.10660	0.07865	0.01574
case_2025050818	test	41.6	1229	0.9756	1.0533	1.0175	+0.0777	+0.0419	0.05450	0.00000	0.05450	0.08229	0.07323	0.06188
case_2025050919	test	346.0	1144	0.9738	1.2275	1.1390	+0.2537	+0.1652	0.10698	0.00069	0.10630	0.02497	0.00639	0.36725
case_2025051016	test	329.0	1144	0.9738	1.4073	1.3681	+0.4335	+0.3943	0.07586	0.00000	0.07586	0.04627	0.02270	0.21503
case_2025051122	test	135.9	891	0.9663	1.1031	1.0630	+0.1368	+0.0967	0.06949	0.00000	0.06949	0.06067	0.04505	0.01414
case_2025051519	test	159.4	1089	0.9725	0.9376	0.9053	-0.0349	-0.0671	0.15400	0.00000	0.15400	0.10516	0.04936	0.01809
case_2025051719	test	274.0	1259	0.9762	1.3209	1.2385	+0.3448	+0.2623	0.12096	0.00259	0.11837	0.04536	0.01509	0.00954
case_2025051819	test	266.6	962	0.9688	0.8768	0.8276	-0.0920	-0.1412	0.11726	0.00116	0.11610	0.04658	0.01515	0.00315
case_2025051915	test	48.4	681	0.9559	0.9704	0.9705	+0.0145	+0.0146	0.03448	0.00000	0.03447	0.08286	0.06792	0.04740
case_2025052014	test	65.6	681	0.9559	1.0203	0.9514	+0.0644	-0.0045	0.12229	0.00000	0.12229	0.09045	0.06491	0.00000
case_2025052106	test	61.4	962	0.9688	1.2913	1.2651	+0.3225	+0.2963	0.05935	0.00000	0.05935	0.05291	0.03434	0.00000
case_2025052316	test	304.1	1144	0.9738	1.1334	1.0858	+0.1596	+0.1121	0.09798	0.00000	0.09798	0.04848	0.02045	0.01626
case_2025052816	test	45.0	739	0.9594	1.4875	1.4749	+0.5281	+0.5155	0.02978	0.00000	0.02978	0.03103	0.02074	0.00731
case_2025052900	test	28.0	823	0.9636	1.2020	1.1230	+0.2385	+0.1594	0.08358	0.00000	0.08358	0.02266	0.01339	0.01243
case_2025053115	test	341.4	1011	0.9703	1.3085	1.2693	+0.3382	+0.2990	0.05734	0.00001	0.05732	0.02450	0.01070	0.45659
case_2025060118	test	326.2	1144	0.9738	1.2211	1.1447	+0.2474	+0.1710	0.08238	0.00000	0.08238	0.02314	0.01284	0.13398
case_2025060220	test	222.7	1089	0.9725	1.6307	1.5845	+0.6583	+0.6121	0.04989	0.00000	0.04989	0.02241	0.01157	0.01484
case_2025060406	test	304.7	1481	0.9797	1.1093	1.0637	+0.1296	+0.0840	0.08144	0.00000	0.08144	0.04222	0.02213	0.01011
case_2025060821	test	251.3	1037	0.9711	0.8544	0.8036	-0.1166	-0.1675	0.13847	0.00000	0.13847	0.06291	0.02287	0.00106
case_2025060917	test	261.4	1144	0.9738	1.1315	1.0463	+0.1577	+0.0725	0.15525	0.00174	0.15351	0.07719	0.03718	0.00405
case_2025061019	test	261.6	1089	0.9725	1.0060	0.9262	+0.0335	-0.0463	0.13983	0.00328	0.13655	0.04454	0.01249	0.00258
case_2025061117	test	240.5	607	0.9506	1.2089	1.1487	+0.2583	+0.1981	0.08185	0.00000	0.08185	0.04035	0.02431	0.01672
case_2025061219	test	123.7	1116	0.9731	0.8438	0.7846	-0.1293	-0.1886	0.09056	0.00000	0.09056	0.03626	0.02587	0.00275
case_2025061314	test	126.9	823	0.9636	1.1580	1.1467	+0.1944	+0.1831	0.03608	0.00000	0.03608	0.08685	0.07558	0.02904
case_2025061422	test	68.0	1089	0.9725	0.9705	0.9100	-0.0020	-0.0624	0.11171	0.00000	0.11171	0.08845	0.06556	0.00004
case_2025061520	test	157.3	1116	0.9731	0.7323	0.7037	-0.2408	-0.2695	0.17686	0.00000	0.17686	0.17204	0.11716	0.01115
case_2025061700	test	187.5	700	0.9571	0.6455	0.6071	-0.3116	-0.3500	0.16501	0.00060	0.16441	0.06447	0.00943	0.00123
case_2025061820	test	39.5	937	0.9680	0.8602	0.8681	-0.1078	-0.0999	0.03804	0.00000	0.03804	0.15669	0.13983	0.00069
case_2025062021	test	211.7	1063	0.9718	0.7899	0.7444	-0.1819	-0.2274	0.11793	0.00000	0.11793	0.05811	0.02787	0.00340
case_2025062119	test	198.7	1089	0.9725	0.9962	0.9121	+0.0237	-0.0604	0.16507	0.00001	0.16506	0.07359	0.03239	0.01751
case_2025062216	test	199.2	868	0.9654	0.7656	0.7173	-0.1998	-0.2481	0.12671	0.00000	0.12671	0.07652	0.04569	0.02775
case_2025062317	test	220.9	1116	0.9731	1.2991	1.2431	+0.3260	+0.2699	0.06965	0.00000	0.06965	0.04059	0.02751	0.01334
case_2025062416	test	222.5	700	0.9571	0.9794	0.9484	+0.0222	-0.0088	0.05466	0.00000	0.05466	0.02518	0.01363	0.00222
case_2025062516	test	162.7	681	0.9559	1.0083	1.0427	+0.0524	+0.0867	0.10212	0.00000	0.10212	0.12804	0.07160	0.08678
case_2025062714	test	204.3	643	0.9534	0.6558	0.6081	-0.2975	-0.3453	0.12637	0.00000	0.12637	0.04880	0.02113	0.00703
case_2025062819	test	244.4	1116	0.9731	0.9652	0.8900	-0.0079	-0.0832	0.11495	0.00000	0.11495	0.04856	0.02970	0.01156
case_2025062922	test	194.9	962	0.9688	0.5923	0.5545	-0.3766	-0.4143	0.16273	0.00000	0.16273	0.07489	0.02459	0.00475
case_2025063001	test	316.9	781	0.9616	1.5491	1.5094	+0.5876	+0.5478	0.05794	0.00000	0.05794	0.03126	0.01521	0.12029
case_2025070620	test	357.9	962	0.9688	1.3153	1.2884	+0.3465	+0.3195	0.10203	0.00117	0.10086	0.06665	0.02729	0.49621
case_2025070822	test	270.9	1037	0.9711	0.6790	0.6116	-0.2921	-0.3595	0.16027	0.00529	0.15498	0.05099	0.01839	0.00120
case_2025070917	test	306.4	1144	0.9738	0.9854	0.9558	+0.0117	-0.0179	0.07924	0.00000	0.07924	0.06973	0.04673	0.02897
case_2025071020	test	200.4	1089	0.9725	0.8739	0.7956	-0.0985	-0.1769	0.14641	0.00000	0.14641	0.05002	0.02009	0.01001
case_2025071118	test	206.5	700	0.9571	1.3351	1.2467	+0.3780	+0.2896	0.09187	0.00000	0.09187	0.03074	0.01749	0.04047
case_2025071204	test	192.5	524	0.9427	0.7407	0.6602	-0.2020	-0.2825	0.17808	0.00000	0.17808	0.05392	0.01624	0.00045
case_2025071316	test	284.7	1089	0.9725	0.9555	0.8937	-0.0170	-0.0788	0.12963	0.00008	0.12955	0.06292	0.03028	0.00881
case_2025071418	test	244.3	1089	0.9725	1.1949	1.1525	+0.2224	+0.1800	0.09185	0.00000	0.09185	0.06564	0.03869	0.01192
case_2025071620	test	159.6	700	0.9571	1.3837	1.3179	+0.4266	+0.3607	0.11815	0.00008	0.11807	0.07763	0.04384	0.12008
case_2025071703	test	303.2	781	0.9616	0.9539	0.8558	-0.0076	-0.1058	0.13061	0.00000	0.13061	0.02627	0.01118	0.00046
case_2025071822	test	214.8	1089	0.9725	1.2301	1.1844	+0.2577	+0.2120	0.07837	0.00000	0.07837	0.05667	0.03683	0.00770
case_2025071920	test	238.4	1063	0.9718	1.3204	1.2664	+0.3486	+0.2947	0.08938	0.00000	0.08938	0.05713	0.03352	0.00986
case_2025072019	test	58.2	1116	0.9731	1.3085	1.2496	+0.3354	+0.2765	0.07350	0.00000	0.07350	0.06462	0.05122	0.00295
case_2025072122	test	249.1	1063	0.9718	0.7660	0.7071	-0.2058	-0.2647	0.12794	0.00000	0.12794	0.04521	0.01860	0.00135
case_2025072219	test	187.0	1116	0.9731	0.7699	0.7289	-0.2033	-0.2442	0.14096	0.00165	0.13931	0.06573	0.02137	0.01026
case_2025072313	test	221.0	590	0.9492	0.9194	0.8800	-0.0297	-0.0691	0.05587	0.00000	0.05587	0.01282	0.00611	0.00035
case_2025072417	test	243.7	607	0.9506	1.1751	1.0784	+0.2245	+0.1278	0.11467	0.00000	0.11467	0.04031	0.02352	0.00449
case_2025072519	test	63.6	1116	0.9731	1.3607	1.3107	+0.3876	+0.3376	0.07621	0.00000	0.07621	0.06957	0.05118	0.00206
case_2025072621	test	242.2	1063	0.9718	0.9841	0.9392	+0.0123	-0.0326	0.10108	0.00000	0.10108	0.06535	0.03853	0.00696
case_2025072717	test	130.3	1089	0.9725	0.9890	0.9297	+0.0166	-0.0428	0.07433	0.00000	0.07433	0.05502	0.04814	0.00408
case_2025072919	test	281.0	1116	0.9731	0.8427	0.7717	-0.1304	-0.2014	0.14372	0.00118	0.14254	0.04856	0.01720	0.00341
case_2025073022	test	2.9	739	0.9594	1.1591	1.0670	+0.1997	+0.1075	0.13307	0.00311	0.12996	0.03780	0.00924	0.36395
case_2025080317	test	125.4	1116	0.9731	1.0198	0.9417	+0.0467	-0.0315	0.09313	0.00000	0.09313	0.03242	0.02391	0.00138
case_2025080718	test	212.2	1116	0.9731	1.1617	1.1019	+0.1885	+0.1287	0.08237	0.00000	0.08237	0.02771	0.01181	0.01461
case_2025080820	test	181.5	962	0.9688	1.2652	1.1906	+0.2964	+0.2218	0.12565	0.00100	0.12465	0.06004	0.02647	0.05784
case_2025080923	test	179.5	986	0.9696	0.7781	0.7254	-0.1915	-0.2442	0.14903	0.00305	0.14598	0.09122	0.05217	0.00533
case_2025081013	test	191.4	700	0.9571	0.9071	0.8152	-0.0500	-0.1419	0.14814	0.00000	0.14814	0.03034	0.00454	0.00309
case_2025081105	test	204.3	1549	0.9806	0.8683	0.8921	-0.1124	-0.0885	0.08613	0.00000	0.08613	0.07715	0.02456	0.00519
case_2025081223	test	275.6	1063	0.9718	1.0642	0.9534	+0.0925	-0.0184	0.15131	0.00395	0.14735	0.02920	0.00305	-0.00070
case_2025081520	test	216.4	1089	0.9725	1.3840	1.3032	+0.4116	+0.3307	0.10176	0.00000	0.10176	0.06113	0.03996	0.01674
case_2025081623	test	180.4	823	0.9636	0.8432	0.7598	-0.1204	-0.2038	0.14172	0.00146	0.14025	0.04266	0.01987	0.00733
case_2025081720	test	44.5	868	0.9654	1.6508	1.6289	+0.6854	+0.6635	0.04286	0.00000	0.04286	0.04065	0.02646	0.01326
case_2025081811	test	153.2	625	0.9520	0.7524	0.8088	-0.1996	-0.1433	0.14118	0.00000	0.14118	0.15122	0.06346	0.00209
case_2025081921	test	315.1	823	0.9636	1.0079	0.9796	+0.0443	+0.0160	0.06668	0.00000	0.06668	0.05613	0.03776	0.01956
case_2025082020	test	337.8	1063	0.9718	0.9560	0.8762	-0.0158	-0.0956	0.12143	0.00000	0.12143	0.04055	0.02072	0.22596
case_2025082218	test	246.7	1063	0.9718	0.8410	0.7649	-0.1308	-0.2069	0.13737	0.00000	0.13737	0.04266	0.01781	0.00148
case_2025082818	test	350.9	1116	0.9731	0.9342	0.8876	-0.0390	-0.0855	0.10844	0.00073	0.10771	0.04003	0.00978	0.32650
case_2025082922	test	193.2	823	0.9636	0.7723	0.7359	-0.1912	-0.2276	0.12848	0.00001	0.12847	0.08498	0.04624	0.01374
case_2025083018	test	286.8	1116	0.9731	1.0340	0.9515	+0.0608	-0.0216	0.12807	0.00007	0.12800	0.04098	0.01555	0.00661
case_2025083121	test	81.5	1063	0.9718	1.2592	1.1537	+0.2874	+0.1820	0.12590	0.00109	0.12480	0.05759	0.03625	0.00035
case_2025090316	test	257.5	1089	0.9725	1.1438	1.0314	+0.1714	+0.0590	0.14591	0.00086	0.14505	0.04392	0.01848	0.00242
case_2025090514	test	262.5	1011	0.9703	0.9471	0.9037	-0.0233	-0.0667	0.13075	0.00191	0.12884	0.05598	0.01261	0.00132
case_2025090821	test	228.8	1063	0.9718	1.3608	1.3339	+0.3890	+0.3621	0.06474	0.00000	0.06474	0.04847	0.02677	0.00709
case_2025090922	test	215.2	1089	0.9725	1.2956	1.2222	+0.3231	+0.2498	0.09236	0.00000	0.09236	0.05772	0.04029	0.00412
case_2025091020	test	249.0	1229	0.9756	1.1050	1.0062	+0.1294	+0.0306	0.13743	0.00000	0.13743	0.04674	0.02152	0.00325
case_2025091118	test	101.7	1089	0.9725	0.6397	0.5932	-0.3328	-0.3793	0.14574	0.00183	0.14391	0.12553	0.09350	0.00012
case_2025091220	test	190.9	1089	0.9725	0.6530	0.5933	-0.3195	-0.3792	0.17459	0.00047	0.17412	0.10409	0.06423	0.00365
case_2025091320	test	276.6	962	0.9688	1.2845	1.1631	+0.3157	+0.1943	0.12115	0.00291	0.11824	0.01907	0.00450	0.01216
case_2025091422	test	148.0	891	0.9663	0.9283	0.9031	-0.0380	-0.0632	0.15180	0.00000	0.15180	0.12555	0.07050	0.00957
case_2025091521	test	344.9	1037	0.9711	1.0878	1.0082	+0.1168	+0.0371	0.09871	0.00000	0.09871	0.01975	0.00618	0.34035
case_2025091618	test	32.3	1144	0.9738	1.0931	1.0504	+0.1193	+0.0767	0.07883	0.00000	0.07883	0.06016	0.04115	0.04389
case_2025091719	test	113.3	1116	0.9731	0.8231	0.7736	-0.1501	-0.1995	0.11189	0.00000	0.11189	0.07133	0.04631	0.00080
case_2025091919	test	170.7	1063	0.9718	0.9797	0.9020	+0.0079	-0.0698	0.15531	0.00041	0.15490	0.05663	0.01672	0.00857
case_2025092013	test	178.3	760	0.9605	0.9413	1.0139	-0.0192	+0.0534	0.12004	0.00111	0.11894	0.12409	0.03983	0.00295
case_2025092118	test	216.1	1144	0.9738	1.1450	1.0807	+0.1712	+0.1069	0.07260	0.00000	0.07260	0.02793	0.01955	0.01400
case_2025092216	test	200.3	643	0.9534	1.0339	0.9923	+0.0805	+0.0389	0.08960	0.00000	0.08960	0.04321	0.01842	0.05774
case_2025092318	test	38.3	891	0.9663	0.9502	0.9102	-0.0161	-0.0561	0.07204	0.00000	0.07204	0.07488	0.06115	0.05539
case_2025092418	test	356.4	1089	0.9725	1.0202	0.9549	+0.0477	-0.0176	0.12807	0.00072	0.12735	0.04342	0.00987	0.34513
case_2025092518	test	324.4	1116	0.9731	1.2365	1.1768	+0.2634	+0.2037	0.07953	0.00000	0.07953	0.03275	0.01688	0.11262
case_2025092818	test	221.0	1116	0.9731	1.3814	1.3559	+0.4083	+0.3828	0.05300	0.00000	0.05300	0.04158	0.02486	0.01430
case_2025093021	test	47.4	1089	0.9725	0.9154	0.8726	-0.0571	-0.0998	0.07296	0.00000	0.07296	0.08110	0.06925	0.00152
case_2025100120	test	135.7	1089	0.9725	1.4341	1.3443	+0.4616	+0.3718	0.08664	0.00000	0.08664	0.04726	0.03534	0.00851
case_2025100215	test	202.8	643	0.9534	0.7755	0.7473	-0.1779	-0.2060	0.09842	0.00000	0.09842	0.10381	0.07650	0.04567
case_2025100622	test	253.5	700	0.9571	1.0007	0.9315	+0.0435	-0.0256	0.12176	0.00000	0.12176	0.04425	0.01693	0.00310
case_2025100702	test	268.8	914	0.9672	0.7868	0.7117	-0.1804	-0.2555	0.12664	0.00831	0.11833	0.02099	0.00386	0.00240
case_2025100820	test	11.6	962	0.9688	1.3919	1.3189	+0.4231	+0.3501	0.09091	0.00062	0.09029	0.03460	0.01491	0.37622
case_2025100917	test	146.9	1289	0.9767	0.9638	0.8732	-0.0129	-0.1035	0.13965	0.00000	0.13965	0.04900	0.02504	0.00733
case_2025101022	test	283.4	681	0.9559	0.9259	0.8201	-0.0300	-0.1358	0.15063	0.00000	0.15063	0.02752	0.00729	0.00016
case_2025101121	test	112.7	1089	0.9725	1.0734	0.9850	+0.1009	+0.0125	0.12795	0.00000	0.12795	0.05631	0.03313	0.00055
case_2025101222	test	151.7	891	0.9663	0.7837	0.7086	-0.1826	-0.2577	0.19514	0.00000	0.19514	0.09539	0.04547	0.00080
case_2025101317	test	217.7	681	0.9559	0.9600	0.9213	+0.0040	-0.0346	0.05801	0.00000	0.05801	0.02006	0.01103	0.02473
case_2025101420	test	63.6	914	0.9672	1.1025	1.0423	+0.1353	+0.0751	0.07597	0.00000	0.07597	0.03281	0.02201	0.00099
case_2025101516	test	102.4	868	0.9654	0.7651	0.7560	-0.2003	-0.2094	0.07903	0.00001	0.07901	0.11399	0.08585	0.00003
case_2025101617	test	175.5	719	0.9583	0.9694	0.9209	+0.0111	-0.0374	0.09358	0.00098	0.09259	0.03217	0.00967	0.02795
case_2025101714	test	172.4	739	0.9594	0.8180	0.6915	-0.1414	-0.2679	0.20670	0.00039	0.20632	0.04090	0.01076	0.00039
case_2025102020	test	167.4	1063	0.9718	0.8752	0.7807	-0.0966	-0.1911	0.20066	0.00158	0.19908	0.08259	0.03418	0.00338
case_2025102119	test	243.3	1259	0.9762	1.1965	1.1539	+0.2204	+0.1777	0.10036	0.00000	0.10036	0.05521	0.02322	0.00193
case_2025102214	test	278.7	590	0.9492	0.8514	0.7509	-0.0978	-0.1983	0.15678	0.00011	0.15667	0.02430	0.00246	-0.00019
case_2025102322	test	285.4	868	0.9654	0.8994	0.8297	-0.0660	-0.1357	0.13328	0.00000	0.13328	0.04771	0.01858	0.00064
case_2025102419	test	297.8	1116	0.9731	0.8449	0.8284	-0.1283	-0.1448	0.09930	0.00000	0.09930	0.09225	0.05612	0.01016
case_2025102516	test	96.4	845	0.9645	1.0316	1.0149	+0.0671	+0.0504	0.06389	0.00001	0.06388	0.10486	0.08474	0.00079
