# per-record wind-aligned cone mask, bin/mask_cone.py, k=8 y_min=90 m
# asym = 1 - z_m/z_i with z_m = 30.0 m; removed_* are fractions of sum|f| over the raw raster
run_id	split	wdir_deg	zi_m	sigma_v	asym	integral_raw	integral_cone	err_raw	err_cone	removed_abs	removed_upwind	removed_near	negfrac_raw	negfrac_cone	kljun_removed	array_share
case_2025080820	test	181.5	962	1.1861	0.9688	1.2652	1.1906	+0.2964	+0.2218	0.12570	0.00005	0.00101	0.06004	0.02645	0.0000000	0.05784
case_2025080923	test	179.5	986	0.6121	0.9696	0.7781	0.7256	-0.1915	-0.2440	0.14925	0.00022	0.00318	0.09122	0.05195	0.0000000	0.00533
case_2025081013	test	191.4	700	0.6099	0.9571	0.9071	0.8160	-0.0500	-0.1411	0.15031	0.00217	0.00000	0.03034	0.00279	0.0000000	0.00309
case_2025081105	test	204.3	1549	0.4601	0.9806	0.8683	0.9028	-0.1124	-0.0778	0.09862	0.01249	0.00000	0.07715	0.01221	0.0000000	0.00519
case_2025081223	test	275.6	1063	0.7173	0.9718	1.0642	0.9530	+0.0925	-0.0187	0.15246	0.00115	0.00435	0.02920	0.00255	0.0000000	-0.00070
case_2025081520	test	216.4	1089	1.2009	0.9725	1.3840	1.2704	+0.4116	+0.2979	0.13569	0.03394	0.00000	0.06113	0.03393	0.0000000	0.01674
case_2025081623	test	180.4	823	0.7051	0.9636	0.8432	0.7598	-0.1204	-0.2038	0.14172	0.00000	0.00146	0.04266	0.01987	0.0000000	0.00733
case_2025081720	test	44.5	868	1.0075	0.9654	1.6508	1.6276	+0.6854	+0.6622	0.05443	0.01157	0.00000	0.04065	0.02103	0.0000000	0.01326
case_2025081811	test	153.2	625	0.4615	0.9520	0.7524	0.8219	-0.1996	-0.1301	0.15967	0.01849	0.00000	0.15122	0.04659	0.0000000	0.00209
case_2025081921	test	315.1	823	0.8830	0.9636	1.0079	0.9645	+0.0443	+0.0010	0.09491	0.02823	0.00000	0.05613	0.03068	0.0000000	0.01956
case_2025082020	test	337.8	1063	1.2572	0.9718	0.9560	0.8717	-0.0158	-0.1001	0.14356	0.02213	0.00000	0.04055	0.01084	0.0000000	0.22596
case_2025082218	test	246.7	1063	1.1852	0.9718	0.8410	0.7504	-0.1308	-0.2214	0.16497	0.02760	0.00000	0.04266	0.01133	0.0000000	0.00148
case_2025082818	test	350.9	1116	1.2973	0.9731	0.9342	0.8882	-0.0390	-0.0849	0.10992	0.00148	0.00074	0.04003	0.00865	0.0000000	0.32650
case_2025082922	test	193.2	823	0.7269	0.9636	0.7723	0.7365	-0.1912	-0.2271	0.13196	0.00348	0.00002	0.08498	0.04407	0.0000000	0.01374
case_2025083018	test	286.8	1116	1.2604	0.9731	1.0340	0.9457	+0.0608	-0.0274	0.13776	0.00969	0.00009	0.04098	0.01308	0.0000000	0.00661
case_2025083121	test	81.5	1063	1.1806	0.9718	1.2592	1.1529	+0.2874	+0.1811	0.12723	0.00134	0.00110	0.05759	0.03589	0.0000000	0.00035
case_2025090316	test	257.5	1089	1.0174	0.9725	1.1438	1.0310	+0.1714	+0.0585	0.15240	0.00649	0.00089	0.04392	0.01500	0.0000000	0.00242
case_2025090514	test	262.5	1011	0.9903	0.9703	0.9471	0.9037	-0.0233	-0.0667	0.13179	0.00104	0.00194	0.05598	0.01204	0.0000000	0.00132
case_2025090821	test	228.8	1063	1.1828	0.9718	1.3608	1.3060	+0.3890	+0.3342	0.10168	0.03693	0.00000	0.04847	0.01762	0.0000000	0.00709
case_2025090922	test	215.2	1089	0.9110	0.9725	1.2956	1.1937	+0.3231	+0.2212	0.11650	0.02414	0.00000	0.05772	0.03876	0.0000000	0.00412
case_2025091020	test	249.0	1229	1.2247	0.9756	1.1050	0.9927	+0.1294	+0.0171	0.15627	0.01883	0.00000	0.04674	0.01740	0.0000000	0.00325
case_2025091118	test	101.7	1089	1.3044	0.9725	0.6397	0.5912	-0.3328	-0.3812	0.14903	0.00328	0.00185	0.12553	0.09327	0.0000000	0.00012
case_2025091220	test	190.9	1089	1.1275	0.9725	0.6530	0.5921	-0.3195	-0.3803	0.17764	0.00304	0.00057	0.10409	0.06345	0.0000000	0.00365
case_2025091320	test	276.6	962	1.2302	0.9688	1.2845	1.1628	+0.3157	+0.1940	0.12160	0.00045	0.00292	0.01907	0.00436	0.0000000	0.01216
case_2025091422	test	148.0	891	0.7424	0.9663	0.9283	0.9144	-0.0380	-0.0519	0.19104	0.03924	0.00000	0.12555	0.04404	0.0000000	0.00957
case_2025091521	test	344.9	1037	0.8723	0.9711	1.0878	1.0035	+0.1168	+0.0324	0.10733	0.00862	0.00000	0.01975	0.00373	0.0000000	0.34035
case_2025091618	test	32.3	1144	1.3374	0.9738	1.0931	1.0260	+0.1193	+0.0522	0.11180	0.03297	0.00000	0.06016	0.03518	0.0000000	0.04389
case_2025091719	test	113.3	1116	1.2817	0.9731	0.8231	0.7706	-0.1501	-0.2025	0.12332	0.01143	0.00000	0.07133	0.04218	0.0000000	0.00080
case_2025091919	test	170.7	1063	1.3472	0.9718	0.9797	0.9004	+0.0079	-0.0713	0.15778	0.00247	0.00041	0.05663	0.01614	0.0000000	0.00857
case_2025092013	test	178.3	760	0.5614	0.9605	0.9413	1.0139	-0.0192	+0.0534	0.12006	0.00001	0.00112	0.12409	0.03983	0.0000000	0.00295
case_2025092118	test	216.1	1144	1.3275	0.9738	1.1450	1.0580	+0.1712	+0.0843	0.09667	0.02406	0.00000	0.02793	0.01709	0.0000000	0.01400
case_2025092216	test	200.3	643	0.9758	0.9534	1.0339	0.9941	+0.0805	+0.0407	0.09838	0.00878	0.00000	0.04321	0.01287	0.0000000	0.05774
case_2025092318	test	38.3	891	0.9776	0.9663	0.9502	0.8957	-0.0161	-0.0706	0.10187	0.02983	0.00000	0.07488	0.05382	0.0000000	0.05539
case_2025092418	test	356.4	1089	1.3484	0.9725	1.0202	0.9549	+0.0477	-0.0176	0.12813	0.00006	0.00073	0.04342	0.00984	0.0000000	0.34513
case_2025092518	test	324.4	1116	1.3102	0.9731	1.2365	1.1651	+0.2634	+0.1919	0.09808	0.01855	0.00000	0.03275	0.01187	0.0000000	0.11262
case_2025092818	test	221.0	1116	1.2995	0.9731	1.3814	1.3447	+0.4083	+0.3715	0.07827	0.02528	0.00000	0.04158	0.01589	0.0000000	0.01430
case_2025093021	test	47.4	1089	1.0725	0.9725	0.9154	0.8661	-0.0571	-0.1064	0.09128	0.01832	0.00000	0.08110	0.06385	0.0000000	0.00152
case_2025100120	test	135.7	1089	1.1580	0.9725	1.4341	1.2731	+0.4616	+0.3006	0.14693	0.06030	0.00000	0.04726	0.02886	0.0000000	0.00851
case_2025100215	test	202.8	643	0.8813	0.9534	0.7755	0.7495	-0.1779	-0.2038	0.10790	0.00949	0.00000	0.10381	0.07074	0.0000000	0.04567
case_2025100622	test	253.5	700	0.7082	0.9571	1.0007	0.9288	+0.0435	-0.0283	0.13268	0.01092	0.00000	0.04425	0.01228	0.0000000	0.00310
case_2025100702	test	268.8	914	0.5698	0.9672	0.7868	0.7117	-0.1804	-0.2555	0.12670	0.00006	0.00834	0.02099	0.00382	0.0000000	0.00240
case_2025100820	test	11.6	962	1.2026	0.9688	1.3919	1.3187	+0.4231	+0.3499	0.09180	0.00089	0.00064	0.03460	0.01451	0.0000000	0.37622
case_2025100917	test	146.9	1289	1.3069	0.9767	0.9638	0.8507	-0.0129	-0.1260	0.17957	0.03991	0.00000	0.04900	0.01477	0.0000000	0.00733
case_2025101022	test	283.4	681	0.7407	0.9559	0.9259	0.8151	-0.0300	-0.1409	0.15873	0.00810	0.00000	0.02752	0.00560	0.0000000	0.00016
case_2025101121	test	112.7	1089	1.1484	0.9725	1.0734	0.9816	+0.1009	+0.0091	0.13984	0.01190	0.00000	0.05631	0.02828	0.0000000	0.00055
case_2025101222	test	151.7	891	0.6849	0.9663	0.7837	0.6577	-0.1826	-0.3086	0.28902	0.09388	0.00000	0.09539	0.02238	0.0000000	0.00080
case_2025101317	test	217.7	681	0.8982	0.9559	0.9600	0.9129	+0.0040	-0.0430	0.07089	0.01288	0.00000	0.02006	0.00873	0.0000000	0.02473
case_2025101420	test	63.6	914	1.0381	0.9672	1.1025	1.0349	+0.1353	+0.0677	0.08773	0.01176	0.00000	0.03281	0.01927	0.0000000	0.00099
case_2025101516	test	102.4	868	0.5905	0.9654	0.7651	0.7562	-0.2003	-0.2092	0.07929	0.00026	0.00001	0.11399	0.08561	0.0000000	0.00003
case_2025101617	test	175.5	719	0.7109	0.9583	0.9694	0.9210	+0.0111	-0.0373	0.09369	0.00011	0.00099	0.03217	0.00956	0.0000000	0.02795
case_2025101714	test	172.4	739	0.6849	0.9594	0.8180	0.6904	-0.1414	-0.2691	0.21022	0.00351	0.00043	0.04090	0.00941	0.0000000	0.00039
case_2025102020	test	167.4	1063	1.2895	0.9718	0.8752	0.7768	-0.0966	-0.1949	0.20882	0.00816	0.00200	0.08259	0.03168	0.0000000	0.00338
case_2025102119	test	243.3	1259	1.0641	0.9762	1.1965	1.1541	+0.2204	+0.1780	0.12269	0.02233	0.00000	0.05521	0.01097	0.0000000	0.00193
case_2025102214	test	278.7	590	0.7630	0.9492	0.8514	0.7496	-0.0978	-0.1996	0.15930	0.00252	0.00013	0.02430	0.00185	0.0000000	-0.00019
case_2025102322	test	285.4	868	0.7668	0.9654	0.8994	0.8254	-0.0660	-0.1401	0.14241	0.00913	0.00000	0.04771	0.01602	0.0000000	0.00064
case_2025102419	test	297.8	1116	1.2913	0.9731	0.8449	0.8306	-0.1283	-0.1425	0.11708	0.01778	0.00000	0.09225	0.04598	0.0000000	0.01016
case_2025102516	test	96.4	845	0.6536	0.9645	1.0316	1.0149	+0.0671	+0.0504	0.06389	0.00001	0.00001	0.10486	0.08473	0.0000000	0.00079
case_2025102618	test	114.0	1011	1.0609	0.9703	0.9326	0.8696	-0.0377	-0.1008	0.10937	0.01140	0.00000	0.07375	0.05375	0.0000000	0.00414
case_2025102722	test	90.6	700	0.6219	0.9571	1.0917	1.0135	+0.1345	+0.0563	0.12681	0.00014	0.00517	0.05276	0.02450	0.0000000	-0.00009
case_2025102820	test	120.7	1259	1.1562	0.9762	1.0439	0.9444	+0.0678	-0.0318	0.12872	0.02183	0.00000	0.03697	0.01926	0.0000000	0.00009
case_2025102921	test	51.8	1116	1.0350	0.9731	0.9640	0.9485	-0.0091	-0.0247	0.08468	0.01341	0.00000	0.09659	0.06636	0.0000000	0.00083
case_2025103020	test	314.1	1116	1.0362	0.9731	1.1078	1.0534	+0.1347	+0.0802	0.07639	0.02121	0.00000	0.03111	0.01729	0.0000000	0.02724
case_2025103120	test	225.3	1116	0.8706	0.9731	1.2913	1.2459	+0.3182	+0.2727	0.06045	0.01377	0.00000	0.01771	0.00475	0.0000000	0.00144
case_2025110120	test	30.2	914	0.9322	0.9672	0.9083	0.8311	-0.0589	-0.1361	0.13740	0.03871	0.00000	0.05545	0.02846	0.0000000	0.01046
case_2025110221	test	186.3	1116	0.7935	0.9731	0.6790	0.6518	-0.2941	-0.3213	0.16122	0.00070	0.00387	0.07557	0.01427	0.0000000	0.00037
case_2025110421	test	176.4	1320	0.7680	0.9773	0.8649	0.7550	-0.1124	-0.2222	0.17000	0.00084	0.00348	0.02821	0.00379	0.0000000	0.00001
case_2025110517	test	295.4	1172	1.3023	0.9744	0.9371	0.8862	-0.0373	-0.0882	0.10267	0.02160	0.00000	0.03341	0.00830	0.0000000	0.00488
case_2025110620	test	173.6	1259	1.0246	0.9762	0.6941	0.6217	-0.2821	-0.3545	0.15057	0.00147	0.00233	0.03609	0.01081	0.0000000	0.00038
case_2025110821	test	130.5	662	0.6126	0.9547	0.6887	0.6701	-0.2660	-0.2845	0.13569	0.03832	0.00000	0.07620	0.02291	0.0000000	0.00034
case_2025110902	test	27.6	448	0.6792	0.9330	1.0154	0.9636	+0.0824	+0.0306	0.13382	0.04534	0.00000	0.05380	0.01116	0.0000000	0.02040
case_2025111022	test	309.4	448	0.7025	0.9330	1.1201	1.0103	+0.1871	+0.0773	0.13548	0.03485	0.00000	0.03112	0.01080	0.0000000	0.00887
case_2025111119	test	236.7	962	1.2143	0.9688	1.2506	1.1928	+0.2818	+0.2240	0.07391	0.01272	0.00000	0.02994	0.01590	0.0000000	0.00849
case_2025111318	test	268.5	1089	1.1306	0.9725	1.3458	1.2706	+0.3733	+0.2982	0.12005	0.00004	0.00182	0.07417	0.04310	0.0000000	0.00766
case_2025111419	test	206.6	662	0.8982	0.9547	0.8748	0.8326	-0.0798	-0.1221	0.10564	0.01544	0.00000	0.04571	0.01659	0.0000000	0.03200
case_2025111621	test	281.7	868	0.9325	0.9654	0.8932	0.7845	-0.0723	-0.1809	0.16648	0.00711	0.00006	0.03384	0.00876	0.0000000	-0.00001
case_2025111720	test	311.5	1063	1.0425	0.9718	1.2662	1.1926	+0.2945	+0.2208	0.08916	0.02955	0.00000	0.03225	0.01633	0.0000000	0.03331
case_2025111820	test	67.3	781	0.5066	0.9616	1.1267	1.0823	+0.1651	+0.1207	0.08431	0.00589	0.00000	0.03716	0.01444	0.0000000	0.00001
case_2025111920	test	187.5	700	0.6783	0.9571	0.7973	0.7208	-0.1599	-0.2363	0.16568	0.00063	0.00059	0.06722	0.03101	0.0000000	0.01214
case_2025112018	test	217.0	823	0.7114	0.9636	1.4051	1.2994	+0.4415	+0.3358	0.09540	0.01542	0.00000	0.01879	0.00807	0.0000000	0.00127
case_2025112117	test	295.7	868	0.8269	0.9654	0.8369	0.8078	-0.1286	-0.1577	0.11587	0.01960	0.00000	0.06419	0.02421	0.0000000	0.01823
case_2025112221	test	202.1	366	0.6632	0.9179	0.9337	0.8334	+0.0158	-0.0846	0.18415	0.02441	0.00000	0.04927	0.00691	0.0000000	0.00041
case_2025112320	test	278.3	1037	0.8929	0.9711	1.0137	0.8914	+0.0426	-0.0796	0.15701	0.00169	0.00265	0.02739	0.00698	0.0000000	0.00096
case_2025112422	test	215.5	681	0.5568	0.9559	1.3601	1.3630	+0.4042	+0.4070	0.09485	0.01818	0.00000	0.07550	0.03003	0.0000000	0.00505
case_2025112520	test	235.0	781	0.5772	0.9616	1.6338	1.5674	+0.6722	+0.6059	0.06988	0.00747	0.00000	0.01808	0.00291	0.0000000	0.00209
case_2025112621	test	255.0	328	0.9310	0.9085	1.0646	0.9686	+0.1561	+0.0602	0.15644	0.01345	0.00000	0.04015	0.00401	0.0000000	0.00050
case_2025112716	test	287.0	1011	1.0890	0.9703	0.9871	0.9083	+0.0168	-0.0620	0.16520	0.01067	0.00000	0.05508	0.00957	0.0000000	0.00239
case_2025112821	test	283.5	891	0.9075	0.9663	0.8195	0.7547	-0.1468	-0.2116	0.15161	0.00716	0.00000	0.05090	0.01248	0.0000000	0.00038
case_2025112920	test	119.2	760	0.7427	0.9605	0.9003	0.7813	-0.0602	-0.1792	0.17643	0.03510	0.00000	0.03207	0.00691	0.0000000	0.00000
case_2025120119	test	195.3	379	0.5970	0.9208	0.5995	0.5356	-0.3213	-0.3851	0.14577	0.01014	0.00000	0.02576	0.00396	0.0000000	0.00056
case_2025120219	test	201.6	739	0.6185	0.9594	0.6068	0.5860	-0.3526	-0.3734	0.17322	0.01989	0.00000	0.10824	0.04240	0.0000000	0.00230
case_2025120319	test	276.3	643	0.8124	0.9534	1.0390	0.9354	+0.0857	-0.0179	0.16208	0.00117	0.00224	0.04340	0.00940	0.0000000	0.00023
case_2025120419	test	229.4	405	0.6306	0.9260	1.3383	1.3203	+0.4123	+0.3944	0.06417	0.00993	0.00000	0.03868	0.01367	0.0000000	0.00412
case_2025120519	test	205.5	760	0.7003	0.9605	0.8686	0.8194	-0.0919	-0.1411	0.11994	0.01780	0.00000	0.04524	0.01254	0.0000000	0.00780
case_2025120620	test	226.2	802	0.7269	0.9626	1.3158	1.3175	+0.3532	+0.3549	0.07158	0.01924	0.00000	0.08385	0.05120	0.0000000	0.01040
case_2025120719	test	322.2	760	0.7127	0.9605	1.0313	1.0009	+0.0708	+0.0403	0.08010	0.00916	0.00000	0.04688	0.02197	0.0000000	0.05992
case_2025120821	test	165.2	700	0.4609	0.9571	0.7645	0.7557	-0.1927	-0.2014	0.14793	0.00573	0.00000	0.10513	0.04187	0.0000000	0.00118
case_2025120918	test	254.6	681	0.7069	0.9559	1.2294	1.1520	+0.2735	+0.1961	0.17422	0.01283	0.00040	0.07142	0.01365	0.0000000	0.00056
case_2025121019	test	298.1	802	0.9008	0.9626	1.0974	0.9904	+0.1348	+0.0278	0.12848	0.03225	0.00000	0.02075	0.00374	0.0000000	0.00204
case_2025121119	test	297.7	739	0.6592	0.9594	1.1136	1.0375	+0.1542	+0.0781	0.11487	0.02219	0.00000	0.03824	0.01397	0.0000000	0.00500
case_2025121220	test	252.8	392	0.6138	0.9234	0.9070	0.8304	-0.0165	-0.0930	0.15699	0.01421	0.00000	0.07182	0.03493	0.0000000	0.00084
case_2025121320	test	268.8	739	0.9092	0.9594	1.0728	0.9745	+0.1134	+0.0151	0.13515	0.00013	0.00329	0.02931	0.00562	0.0000000	0.00311
case_2025121418	test	311.9	662	0.6981	0.9547	1.3073	1.2552	+0.3526	+0.3006	0.09348	0.03892	0.00000	0.04228	0.01518	0.0000000	0.02785
case_2025121618	test	198.5	719	0.5982	0.9583	0.9068	0.7977	-0.0515	-0.1606	0.18724	0.01471	0.00000	0.04274	0.00511	0.0000000	0.00035
case_2025121819	test	231.0	719	0.6568	0.9583	1.4825	1.4184	+0.5242	+0.4601	0.08214	0.01047	0.00000	0.02732	0.00730	0.0000000	0.00081
case_2025121917	test	297.0	781	0.9671	0.9616	1.2651	1.1814	+0.3035	+0.2198	0.12175	0.01491	0.00000	0.05085	0.02243	0.0000000	0.02190
case_2025122017	test	256.0	508	0.7792	0.9409	0.9043	0.8239	-0.0366	-0.1170	0.14709	0.00858	0.00011	0.03451	0.00277	0.0000000	0.00001
case_2025122119	test	255.5	781	0.8691	0.9616	1.0908	0.9910	+0.1293	+0.0294	0.13211	0.00563	0.00000	0.03217	0.01030	0.0000000	0.00945
case_2025122218	test	196.8	823	0.6354	0.9636	0.8607	0.7712	-0.1029	-0.1924	0.14051	0.00626	0.00000	0.03188	0.01200	0.0000000	0.00385
case_2025122319	test	289.8	914	0.7314	0.9672	0.9313	0.8630	-0.0359	-0.1041	0.15582	0.01981	0.00000	0.06196	0.01915	0.0000000	0.00238
case_2025122419	test	161.8	914	0.6914	0.9672	1.2860	1.1947	+0.3188	+0.2276	0.14817	0.00656	0.00000	0.07111	0.03223	0.0000000	0.02972
case_2025122516	test	53.0	802	0.5772	0.9626	1.1167	1.0950	+0.1541	+0.1325	0.06653	0.00839	0.00000	0.06299	0.04093	0.0000000	0.00034
case_2025122621	test	277.7	802	0.6739	0.9626	0.8237	0.8013	-0.1389	-0.1613	0.17446	0.00240	0.00620	0.08624	0.01245	0.0000000	0.00197
case_2025122707	test	264.3	719	0.5073	0.9583	0.9335	0.9057	-0.0248	-0.0526	0.11898	0.00120	0.00114	0.05164	0.00620	0.0000000	0.00057
case_2025122819	test	195.9	700	0.5213	0.9571	1.3207	1.2366	+0.3636	+0.2794	0.10174	0.00240	0.00000	0.02139	0.00114	0.0000000	0.00717
case_2025122919	test	286.2	492	0.8037	0.9391	0.8941	0.8205	-0.0449	-0.1185	0.14744	0.01315	0.00000	0.04157	0.00654	0.0000000	0.00007
case_2025123018	test	253.3	719	0.7169	0.9583	0.9989	0.8892	+0.0406	-0.0691	0.16832	0.01703	0.00001	0.03787	0.00540	0.0000000	0.00035
case_2025123100	test	248.7	185	0.5942	0.8377	0.9201	0.8686	+0.0824	+0.0309	0.21178	0.02339	0.00000	0.09935	0.02018	0.0000000	0.00004
case_2026020118	train	173.7	719	0.9774	0.9583	0.9250	0.8535	-0.0333	-0.1048	0.14312	0.00099	0.00104	0.04685	0.01201	0.0000000	0.00917
case_2026020221	train	278.8	1116	0.8488	0.9731	0.7724	0.7166	-0.2007	-0.2565	0.13326	0.00274	0.00075	0.03899	0.00652	0.0000000	-0.00009
case_2026020320	train	333.7	802	0.8630	0.9626	1.1456	1.1054	+0.1831	+0.1429	0.06860	0.01119	0.00000	0.04519	0.02882	0.0000000	0.22091
case_2026020421	train	276.0	719	0.6467	0.9583	0.7912	0.7311	-0.1671	-0.2272	0.15087	0.00080	0.00401	0.04773	0.00785	0.0000000	0.00149
